SEASON,DAYTYPE,YEAR,VALUE
1,1,2020,5
1,1,2021,5
1,1,2022,5
1,1,2023,5
1,1,2024,5
1,1,2025,5
1,1,2026,5
1,1,2027,5
1,1,2028,5
1,1,2029,5
1,1,2030,5
1,1,2031,5
1,1,2032,5
1,1,2033,5
1,1,2034,5
1,1,2035,5
1,1,2036,5
1,1,2037,5
1,1,2038,5
1,1,2039,5
1,1,2040,5
1,1,2041,5
1,1,2042,5
1,1,2043,5
1,1,2044,5
1,1,2045,5
1,1,2046,5
1,1,2047,5
1,1,2048,5
1,1,2049,5
1,1,2050,5
1,2,2020,2
1,2,2021,2
1,2,2022,2
1,2,2023,2
1,2,2024,2
1,2,2025,2
1,2,2026,2
1,2,2027,2
1,2,2028,2
1,2,2029,2
1,2,2030,2
1,2,2031,2
1,2,2032,2
1,2,2033,2
1,2,2034,2
1,2,2035,2
1,2,2036,2
1,2,2037,2
1,2,2038,2
1,2,2039,2
1,2,2040,2
1,2,2041,2
1,2,2042,2
1,2,2043,2
1,2,2044,2
1,2,2045,2
1,2,2046,2
1,2,2047,2
1,2,2048,2
1,2,2049,2
1,2,2050,2
2,1,2020,5
2,1,2021,5
2,1,2022,5
2,1,2023,5
2,1,2024,5
2,1,2025,5
2,1,2026,5
2,1,2027,5
2,1,2028,5
2,1,2029,5
2,1,2030,5
2,1,2031,5
2,1,2032,5
2,1,2033,5
2,1,2034,5
2,1,2035,5
2,1,2036,5
2,1,2037,5
2,1,2038,5
2,1,2039,5
2,1,2040,5
2,1,2041,5
2,1,2042,5
2,1,2043,5
2,1,2044,5
2,1,2045,5
2,1,2046,5
2,1,2047,5
2,1,2048,5
2,1,2049,5
2,1,2050,5
2,2,2020,2
2,2,2021,2
2,2,2022,2
2,2,2023,2
2,2,2024,2
2,2,2025,2
2,2,2026,2
2,2,2027,2
2,2,2028,2
2,2,2029,2
2,2,2030,2
2,2,2031,2
2,2,2032,2
2,2,2033,2
2,2,2034,2
2,2,2035,2
2,2,2036,2
2,2,2037,2
2,2,2038,2
2,2,2039,2
2,2,2040,2
2,2,2041,2
2,2,2042,2
2,2,2043,2
2,2,2044,2
2,2,2045,2
2,2,2046,2
2,2,2047,2
2,2,2048,2
2,2,2049,2
2,2,2050,2
