REGION,FUEL,YEAR,VALUE
PHLLU,COAPHLLU,2020,1
PHLLU,COAPHLLU,2021,1
PHLLU,COAPHLLU,2022,1
PHLLU,COAPHLLU,2023,1
PHLLU,COAPHLLU,2024,1
PHLLU,COAPHLLU,2025,1
PHLLU,COAPHLLU,2026,1
PHLLU,COAPHLLU,2027,1
PHLLU,COAPHLLU,2028,1
PHLLU,COAPHLLU,2029,1
PHLLU,COAPHLLU,2030,1
PHLLU,COAPHLLU,2031,1
PHLLU,COAPHLLU,2032,1
PHLLU,COAPHLLU,2033,1
PHLLU,COAPHLLU,2034,1
PHLLU,COAPHLLU,2035,1
PHLLU,COAPHLLU,2036,1
PHLLU,COAPHLLU,2037,1
PHLLU,COAPHLLU,2038,1
PHLLU,COAPHLLU,2039,1
PHLLU,COAPHLLU,2040,1
PHLLU,COAPHLLU,2041,1
PHLLU,COAPHLLU,2042,1
PHLLU,COAPHLLU,2043,1
PHLLU,COAPHLLU,2044,1
PHLLU,COAPHLLU,2045,1
PHLLU,COAPHLLU,2046,1
PHLLU,COAPHLLU,2047,1
PHLLU,COAPHLLU,2048,1
PHLLU,COAPHLLU,2049,1
PHLLU,COAPHLLU,2050,1
PHLLU,GASPHLLU,2020,1
PHLLU,GASPHLLU,2021,1
PHLLU,GASPHLLU,2022,1
PHLLU,GASPHLLU,2023,1
PHLLU,GASPHLLU,2024,1
PHLLU,GASPHLLU,2025,1
PHLLU,GASPHLLU,2026,1
PHLLU,GASPHLLU,2027,1
PHLLU,GASPHLLU,2028,1
PHLLU,GASPHLLU,2029,1
PHLLU,GASPHLLU,2030,1
PHLLU,GASPHLLU,2031,1
PHLLU,GASPHLLU,2032,1
PHLLU,GASPHLLU,2033,1
PHLLU,GASPHLLU,2034,1
PHLLU,GASPHLLU,2035,1
PHLLU,GASPHLLU,2036,1
PHLLU,GASPHLLU,2037,1
PHLLU,GASPHLLU,2038,1
PHLLU,GASPHLLU,2039,1
PHLLU,GASPHLLU,2040,1
PHLLU,GASPHLLU,2041,1
PHLLU,GASPHLLU,2042,1
PHLLU,GASPHLLU,2043,1
PHLLU,GASPHLLU,2044,1
PHLLU,GASPHLLU,2045,1
PHLLU,GASPHLLU,2046,1
PHLLU,GASPHLLU,2047,1
PHLLU,GASPHLLU,2048,1
PHLLU,GASPHLLU,2049,1
PHLLU,GASPHLLU,2050,1
PHLLU,OILPHLLU,2020,1
PHLLU,OILPHLLU,2021,1
PHLLU,OILPHLLU,2022,1
PHLLU,OILPHLLU,2023,1
PHLLU,OILPHLLU,2024,1
PHLLU,OILPHLLU,2025,1
PHLLU,OILPHLLU,2026,1
PHLLU,OILPHLLU,2027,1
PHLLU,OILPHLLU,2028,1
PHLLU,OILPHLLU,2029,1
PHLLU,OILPHLLU,2030,1
PHLLU,OILPHLLU,2031,1
PHLLU,OILPHLLU,2032,1
PHLLU,OILPHLLU,2033,1
PHLLU,OILPHLLU,2034,1
PHLLU,OILPHLLU,2035,1
PHLLU,OILPHLLU,2036,1
PHLLU,OILPHLLU,2037,1
PHLLU,OILPHLLU,2038,1
PHLLU,OILPHLLU,2039,1
PHLLU,OILPHLLU,2040,1
PHLLU,OILPHLLU,2041,1
PHLLU,OILPHLLU,2042,1
PHLLU,OILPHLLU,2043,1
PHLLU,OILPHLLU,2044,1
PHLLU,OILPHLLU,2045,1
PHLLU,OILPHLLU,2046,1
PHLLU,OILPHLLU,2047,1
PHLLU,OILPHLLU,2048,1
PHLLU,OILPHLLU,2049,1
PHLLU,OILPHLLU,2050,1
