REGION,TECHNOLOGY,YEAR,VALUE
PHLLU,PWRCOAPHLLU,2020,1
PHLLU,PWRCOAPHLLU,2021,1
PHLLU,PWRCOAPHLLU,2022,1
PHLLU,PWRCOAPHLLU,2023,1
PHLLU,PWRCOAPHLLU,2024,1
PHLLU,PWRCOAPHLLU,2025,1
PHLLU,PWRCOAPHLLU,2026,1
PHLLU,PWRCOAPHLLU,2027,1
PHLLU,PWRCOAPHLLU,2028,1
PHLLU,PWRCOAPHLLU,2029,1
PHLLU,PWRCOAPHLLU,2030,1
PHLLU,PWRCOAPHLLU,2031,1
PHLLU,PWRCOAPHLLU,2032,1
PHLLU,PWRCOAPHLLU,2033,1
PHLLU,PWRCOAPHLLU,2034,1
PHLLU,PWRCOAPHLLU,2035,1
PHLLU,PWRCOAPHLLU,2036,1
PHLLU,PWRCOAPHLLU,2037,1
PHLLU,PWRCOAPHLLU,2038,1
PHLLU,PWRCOAPHLLU,2039,1
PHLLU,PWRCOAPHLLU,2040,1
PHLLU,PWRCOAPHLLU,2041,1
PHLLU,PWRCOAPHLLU,2042,1
PHLLU,PWRCOAPHLLU,2043,1
PHLLU,PWRCOAPHLLU,2044,1
PHLLU,PWRCOAPHLLU,2045,1
PHLLU,PWRCOAPHLLU,2046,1
PHLLU,PWRCOAPHLLU,2047,1
PHLLU,PWRCOAPHLLU,2048,1
PHLLU,PWRCOAPHLLU,2049,1
PHLLU,PWRCOAPHLLU,2050,1
PHLLU,PWRGASPHLLU,2020,1
PHLLU,PWRGASPHLLU,2021,1
PHLLU,PWRGASPHLLU,2022,1
PHLLU,PWRGASPHLLU,2023,1
PHLLU,PWRGASPHLLU,2024,1
PHLLU,PWRGASPHLLU,2025,1
PHLLU,PWRGASPHLLU,2026,1
PHLLU,PWRGASPHLLU,2027,1
PHLLU,PWRGASPHLLU,2028,1
PHLLU,PWRGASPHLLU,2029,1
PHLLU,PWRGASPHLLU,2030,1
PHLLU,PWRGASPHLLU,2031,1
PHLLU,PWRGASPHLLU,2032,1
PHLLU,PWRGASPHLLU,2033,1
PHLLU,PWRGASPHLLU,2034,1
PHLLU,PWRGASPHLLU,2035,1
PHLLU,PWRGASPHLLU,2036,1
PHLLU,PWRGASPHLLU,2037,1
PHLLU,PWRGASPHLLU,2038,1
PHLLU,PWRGASPHLLU,2039,1
PHLLU,PWRGASPHLLU,2040,1
PHLLU,PWRGASPHLLU,2041,1
PHLLU,PWRGASPHLLU,2042,1
PHLLU,PWRGASPHLLU,2043,1
PHLLU,PWRGASPHLLU,2044,1
PHLLU,PWRGASPHLLU,2045,1
PHLLU,PWRGASPHLLU,2046,1
PHLLU,PWRGASPHLLU,2047,1
PHLLU,PWRGASPHLLU,2048,1
PHLLU,PWRGASPHLLU,2049,1
PHLLU,PWRGASPHLLU,2050,1
PHLLU,PWROILPHLLU,2020,1
PHLLU,PWROILPHLLU,2021,1
PHLLU,PWROILPHLLU,2022,1
PHLLU,PWROILPHLLU,2023,1
PHLLU,PWROILPHLLU,2024,1
PHLLU,PWROILPHLLU,2025,1
PHLLU,PWROILPHLLU,2026,1
PHLLU,PWROILPHLLU,2027,1
PHLLU,PWROILPHLLU,2028,1
PHLLU,PWROILPHLLU,2029,1
PHLLU,PWROILPHLLU,2030,1
PHLLU,PWROILPHLLU,2031,1
PHLLU,PWROILPHLLU,2032,1
PHLLU,PWROILPHLLU,2033,1
PHLLU,PWROILPHLLU,2034,1
PHLLU,PWROILPHLLU,2035,1
PHLLU,PWROILPHLLU,2036,1
PHLLU,PWROILPHLLU,2037,1
PHLLU,PWROILPHLLU,2038,1
PHLLU,PWROILPHLLU,2039,1
PHLLU,PWROILPHLLU,2040,1
PHLLU,PWROILPHLLU,2041,1
PHLLU,PWROILPHLLU,2042,1
PHLLU,PWROILPHLLU,2043,1
PHLLU,PWROILPHLLU,2044,1
PHLLU,PWROILPHLLU,2045,1
PHLLU,PWROILPHLLU,2046,1
PHLLU,PWROILPHLLU,2047,1
PHLLU,PWROILPHLLU,2048,1
PHLLU,PWROILPHLLU,2049,1
PHLLU,PWROILPHLLU,2050,1
